model	arm	source_kind	lane	slot	attempt	run_dir
gpt55	dots96	topup	openai-a	openai-a-058	1	runs/aiwf_medium_context/20260721T024647_gpt-5.5_a00e0ae5
gpt54	nofiller	topup	openai-a	openai-a-059	1	runs/aiwf_medium_context/20260721T024914_gpt-5.4_d105d296
gpt55	nofiller	topup	openai-a	openai-a-060	1	runs/aiwf_medium_context/20260721T025318_gpt-5.5_53a924b1
gpt54	dots96	topup	openai-a	openai-a-061	1	runs/aiwf_medium_context/20260721T025541_gpt-5.4_a1f933d6
gpt55	dots96	topup	openai-a	openai-a-062	1	runs/aiwf_medium_context/20260721T025815_gpt-5.5_b98ee68a
gpt54	nofiller	topup	openai-a	openai-a-063	1	runs/aiwf_medium_context/20260721T030105_gpt-5.4_759d0f17
gpt55	dots96	topup	openai-a	openai-a-064	1	runs/aiwf_medium_context/20260721T030507_gpt-5.5_3efdc987
gpt54	dots96	topup	openai-a	openai-a-065	1	runs/aiwf_medium_context/20260721T030944_gpt-5.4_8bcaba94
gpt55	nofiller	topup	openai-a	openai-a-066	1	runs/aiwf_medium_context/20260721T031239_gpt-5.5_fd0ee07d
gpt54	nofiller	topup	openai-a	openai-a-067	1	runs/aiwf_medium_context/20260721T031724_gpt-5.4_841b57ec
gpt55	nofiller	topup	openai-a	openai-a-068	1	runs/aiwf_medium_context/20260721T032009_gpt-5.5_7aaba752
gpt54	dots96	topup	openai-a	openai-a-069	1	runs/aiwf_medium_context/20260721T032522_gpt-5.4_bf280e81
gpt55	nofiller	topup	openai-a	openai-a-070	1	runs/aiwf_medium_context/20260721T033036_gpt-5.5_cae77f7a
gpt54	dots96	topup	openai-a	openai-a-071	1	runs/aiwf_medium_context/20260721T033456_gpt-5.4_183ba009
