model	arm	run_dir	transcript_rows	end_session_turn	classification	judged	provenance	source
gemma431	nofiller	runs/aiwf_medium_context/20260615T204616_lilac_gemma-4-31b-it_391172c2	30	29	strict_complete	1	runtime-signature	docs/ten-run-allowlists/lilac-gemma-4-31b-it-off-2026-06-15.txt
gemma431	nofiller	runs/aiwf_medium_context/20260615T204751_lilac_gemma-4-31b-it_9c3177b5	31	29	strict_complete	1	runtime-signature	docs/ten-run-allowlists/lilac-gemma-4-31b-it-off-2026-06-15.txt
gemma431	nofiller	runs/aiwf_medium_context/20260615T204932_lilac_gemma-4-31b-it_9f95f1e5	31	29	strict_complete	1	runtime-signature	docs/ten-run-allowlists/lilac-gemma-4-31b-it-off-2026-06-15.txt
gemma431	nofiller	runs/aiwf_medium_context/20260615T205116_lilac_gemma-4-31b-it_16a0a20c	31	29	strict_complete	1	runtime-signature	docs/ten-run-allowlists/lilac-gemma-4-31b-it-off-2026-06-15.txt
gemma431	nofiller	runs/aiwf_medium_context/20260615T205319_lilac_gemma-4-31b-it_9d464af0	30	29	strict_complete	1	runtime-signature	docs/ten-run-allowlists/lilac-gemma-4-31b-it-off-2026-06-15.txt
gemma431	nofiller	runs/aiwf_medium_context/20260719T032503_lilac_gemma-4-31b-it_7379f65b	31	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_oai_lilac_manifest.tsv
gemma431	nofiller	runs/aiwf_medium_context/20260719T033623_lilac_gemma-4-31b-it_17f51340	32	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_oai_lilac_manifest.tsv
gemma431	nofiller	runs/aiwf_medium_context/20260719T034709_lilac_gemma-4-31b-it_4355ae1c	31	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_oai_lilac_manifest.tsv
gemma431	nofiller	runs/aiwf_medium_context/20260719T035838_lilac_gemma-4-31b-it_e2613ec9	32	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_oai_lilac_manifest.tsv
gemma431	nofiller	runs/aiwf_medium_context/20260719T040753_lilac_gemma-4-31b-it_f1a41069	31	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_oai_lilac_manifest.tsv
gemma431	nofiller	runs/aiwf_medium_context/20260719T042315_lilac_gemma-4-31b-it_ea65fc8a	31	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_oai_lilac_manifest.tsv
gemma431	nofiller	runs/aiwf_medium_context/20260719T052133_lilac_gemma-4-31b-it_e6384224	30	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_oai_lilac_manifest.tsv
gemma431	nofiller	runs/aiwf_medium_context/20260719T081205_lilac_gemma-4-31b-it_59688cd3	30	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_oai_lilac_manifest.tsv
gemma431	nofiller	runs/aiwf_medium_context/20260719T082537_lilac_gemma-4-31b-it_99cc0104	30	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_oai_lilac_manifest.tsv
gemma431	nofiller	runs/aiwf_medium_context/20260719T084018_lilac_gemma-4-31b-it_defcbb8b	31	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_oai_lilac_manifest.tsv
gemma431	dots96	runs/aiwf_medium_context/20260719T032927_lilac_gemma-4-31b-it_19186279	31	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_oai_lilac_manifest.tsv
gemma431	dots96	runs/aiwf_medium_context/20260719T033926_lilac_gemma-4-31b-it_62f63574	31	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_oai_lilac_manifest.tsv
gemma431	dots96	runs/aiwf_medium_context/20260719T035156_lilac_gemma-4-31b-it_a8e8a708	30	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_oai_lilac_manifest.tsv
gemma431	dots96	runs/aiwf_medium_context/20260719T040131_lilac_gemma-4-31b-it_792ee9df	31	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_oai_lilac_manifest.tsv
gemma431	dots96	runs/aiwf_medium_context/20260719T041608_lilac_gemma-4-31b-it_91678da3	30	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_oai_lilac_manifest.tsv
gemma431	dots96	runs/aiwf_medium_context/20260719T042701_lilac_gemma-4-31b-it_d8a2a30e	30	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_oai_lilac_manifest.tsv
gemma431	dots96	runs/aiwf_medium_context/20260719T081713_lilac_gemma-4-31b-it_1cd8a6c4	30	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_oai_lilac_manifest.tsv
gemma431	dots96	runs/aiwf_medium_context/20260719T082843_lilac_gemma-4-31b-it_24a5b5f2	30	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_oai_lilac_manifest.tsv
gemma431	dots96	runs/aiwf_medium_context/20260719T084250_lilac_gemma-4-31b-it_a3779af9	30	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_oai_lilac_manifest.tsv
gemma431	dots96	runs/aiwf_medium_context/20260719T085420_lilac_gemma-4-31b-it_6641f0d2	30	29	strict_complete	1	runtime-signature	docs/filler-study-data/broaden_oai_lilac_manifest.tsv
inkling	nofiller	runs/aiwf_medium_context/20260718T221420_thinkingmachines_inkling_a5ebbb11	31	29	strict_complete	1	runtime-signature	docs/filler-study-data/inkling_filler_manifest.tsv
inkling	nofiller	runs/aiwf_medium_context/20260718T222424_thinkingmachines_inkling_8ec92bd1	30	29	strict_complete	1	runtime-signature	docs/filler-study-data/inkling_filler_manifest.tsv
inkling	nofiller	runs/aiwf_medium_context/20260718T223337_thinkingmachines_inkling_fc04b9c9	31	29	strict_complete	1	runtime-signature	docs/filler-study-data/inkling_filler_manifest.tsv
inkling	nofiller	runs/aiwf_medium_context/20260718T224410_thinkingmachines_inkling_16b0a54b	31	29	strict_complete	1	runtime-signature	docs/filler-study-data/inkling_filler_manifest.tsv
inkling	nofiller	runs/aiwf_medium_context/20260718T225454_thinkingmachines_inkling_28553bcd	31	29	strict_complete	1	runtime-signature	docs/filler-study-data/inkling_filler_manifest.tsv
inkling	nofiller	runs/aiwf_medium_context/20260718T230434_thinkingmachines_inkling_c8000c6e	30	29	strict_complete	1	runtime-signature	docs/filler-study-data/inkling_filler_manifest.tsv
inkling	nofiller	runs/aiwf_medium_context/20260718T231518_thinkingmachines_inkling_eac4f3fb	30	29	strict_complete	1	runtime-signature	docs/filler-study-data/inkling_filler_manifest.tsv
